doctor_amka,first_name,last_name,speciality,rank,total_surgeries,max_total_surgeries,surgeries_less_than_top
42086369317,Jessica,Adams,Nephrology,Resident,0,9,9
42273054800,Lucas,Adams,Endocrinology,"Attending B",0,9,9
32490078656,Reed,Adamson,Pulmonology,"Attending B",0,9,9
92351820356,Juan,Alvarez,Pediatrics,"Attending A",0,9,9
36054081665,Jackson,Avery,Gastroenterology,"Attending A",0,9,9
70000113008,Callie,Bailey,Gastroenterology,"Attending B",0,9,9
70000114013,Erica,Bailey,Pulmonology,"Attending A",0,9,9
70000114009,Henry,Bailey,Pulmonology,"Attending B",0,9,9
70000114001,Penelope,Bailey,Pulmonology,Resident,0,9,9
70000115011,Preston,Bailey,Endocrinology,"Attending A",0,9,9
58293833828,Kai,Bartley,Endocrinology,"Attending B",0,9,9
19388046742,Penelope,Blake,Radiology,"Attending B",0,9,9
92903679846,Lauren,Boswell,Neurology,"Attending B",0,9,9
59111077388,Travis,Brennan,Pediatrics,"Attending A",0,9,9
22926432934,Allison,Cameron,"General Surgery",Resident,0,9,9
88895181912,Robert,Chase,Endocrinology,"Attending A",0,9,9
48527577250,Jeffrey,Cole,Radiology,Resident,0,9,9
76612908200,Andrew,DeLuca,Orthopedics,"Attending A",0,9,9
34169696708,Carina,DeLuca,"Emergency Medicine","Attending A",0,9,9
56904353669,Jody,Desai,Oncology,"Attending A",0,9,9
91172754729,Henry,Dobson,Oncology,"Attending A",0,9,9
61812456976,Stephanie,Edwards,Gastroenterology,"Attending A",0,9,9
96461212064,Eric,Foreman,Pulmonology,"Attending A",0,9,9
80767267818,Catherine,Fox,Oncology,"Attending B",0,9,9
79637317274,Evan,Greer,"Obstetrics and Gynecology",Resident,0,9,9
70000101004,Alex,Grey,"Emergency Medicine",Resident,0,9,9
70000105002,Allison,Grey,Pediatrics,Resident,0,9,9
70000105009,Amber,Grey,Pediatrics,"Attending B",0,9,9
70000102000,Amelia,Grey,Cardiology,Resident,0,9,9
70000102003,Andrew,Grey,Cardiology,Resident,0,9,9
70000101014,April,Grey,"Emergency Medicine","Attending A",0,9,9
70000101011,Arizona,Grey,"Emergency Medicine","Attending B",0,9,9
70000102010,Atticus,Grey,Cardiology,"Attending A",0,9,9
70000102008,Ben,Grey,Cardiology,"Attending B",0,9,9
70000106005,Benjamin,Grey,Oncology,Resident,0,9,9
70000103007,Benson,Grey,"General Surgery","Attending B",0,9,9
70000102004,Carina,Grey,Cardiology,Resident,0,9,9
70000104004,Casey,Grey,"Intensive Care","Attending B",0,9,9
70000101010,Catherine,Grey,"Emergency Medicine","Attending B",0,9,9
70000103010,Charles,Grey,"General Surgery","Attending A",0,9,9
