doctor_amka,doctor_name,doctor_speciality,doctor_rank,hierarchy_level,supervisor_amka,supervisor_name,supervisor_speciality,supervisor_rank
70000104001,"Abigail Grey","Intensive Care",Resident,1,99873870754,"Teddy Altman","Intensive Care","Attending A"
70000104001,"Abigail Grey","Intensive Care",Resident,2,36172221786,"Derek Shepherd","General Surgery",Director
70000113009,"Abigail Shepherd",Gastroenterology,"Attending B",1,36054081665,"Jackson Avery",Gastroenterology,"Attending A"
70000113009,"Abigail Shepherd",Gastroenterology,"Attending B",2,54764787985,"Alex Karev",Oncology,Director
70000108010,"Abigail Yang",Neurology,"Attending B",1,25980378553,"Leah Murphy",Neurology,"Attending A"
70000108010,"Abigail Yang",Neurology,"Attending B",2,84987658854,"Preston Burke",Radiology,Director
70000101008,"Addison Grey","Emergency Medicine","Attending B",1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101008,"Addison Grey","Emergency Medicine","Attending B",2,37295679827,"Arizona Robbins",Pulmonology,Director
70000109000,"Addison Shepherd",Radiology,Resident,1,55702582931,"Shane Ross",Radiology,"Attending A"
70000109000,"Addison Shepherd",Radiology,Resident,2,97846728339,"Callie Torres",Gastroenterology,Director
70000101004,"Alex Grey","Emergency Medicine",Resident,1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101004,"Alex Grey","Emergency Medicine",Resident,2,37295679827,"Arizona Robbins",Pulmonology,Director
70000113000,"Alex Shepherd",Gastroenterology,Resident,1,61812456976,"Stephanie Edwards",Gastroenterology,"Attending A"
70000113000,"Alex Shepherd",Gastroenterology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
70000106012,"Alex Yang",Oncology,"Attending A",1,54764787985,"Alex Karev",Oncology,Director
11112294209,"Alexander Adams",Nephrology,"Attending A",1,43738332710,"Lexie Grey",Nephrology,Director
70000106008,"Alexander Grey",Oncology,"Attending B",1,54764787985,"Alex Karev",Oncology,Director
91441929862,"Alexander Thomas",Cardiology,Resident,1,20932266036,"Cristina Yang",Cardiology,Director
70000108003,"Alexander Yang",Neurology,Resident,1,25980378553,"Leah Murphy",Neurology,"Attending A"
70000108003,"Alexander Yang",Neurology,Resident,2,84987658854,"Preston Burke",Radiology,Director
22926432934,"Allison Cameron","General Surgery",Resident,1,82681300933,"Atticus Lincoln","General Surgery","Attending A"
22926432934,"Allison Cameron","General Surgery",Resident,2,54764787985,"Alex Karev",Oncology,Director
70000105002,"Allison Grey",Pediatrics,Resident,1,13733616459,"Richard Webber",Pediatrics,Director
70000109005,"Allison Yang",Radiology,"Attending B",1,68345352569,"Jo Wilson",Radiology,"Attending A"
70000109005,"Allison Yang",Radiology,"Attending B",2,84987658854,"Preston Burke",Radiology,Director
70000105009,"Amber Grey",Pediatrics,"Attending B",1,13733616459,"Richard Webber",Pediatrics,Director
70000113012,"Amber Shepherd",Gastroenterology,"Attending A",1,97846728339,"Callie Torres",Gastroenterology,Director
47681150998,"Amber Volakis",Psychiatry,Resident,1,97846728339,"Callie Torres",Gastroenterology,Director
70000108006,"Amber Yang",Neurology,"Attending B",1,25980378553,"Leah Murphy",Neurology,"Attending A"
70000108006,"Amber Yang",Neurology,"Attending B",2,84987658854,"Preston Burke",Radiology,Director
70000102000,"Amelia Grey",Cardiology,Resident,1,20932266036,"Cristina Yang",Cardiology,Director
77239597077,"Amelia Shepherd","Obstetrics and Gynecology","Attending A",1,34202047459,"Owen Hunt",Endocrinology,Director
